,0
2016-02-17 19:25:00,398954013.8486644
2016-02-17 20:25:00,1422582031.1303325
2016-02-17 21:25:00,1323778971.1733882
2016-02-17 22:25:00,2853355513.4955807
2016-02-17 23:25:00,1321351874.5111911
2016-02-18 00:25:00,2401713276.271719
2016-02-18 01:25:00,1153679946.7644014
2016-02-18 02:25:00,2021569261.5550826
2016-02-18 03:25:00,419786593.5325237
2016-02-18 04:25:00,1151960753.295345
2016-02-18 05:25:00,1465359609.8015583
2016-02-18 06:25:00,932510763.4216816
2016-02-18 07:25:00,4045161.1036619963
2016-02-18 08:25:00,1010380114.6671752
2016-02-18 09:25:00,2752024227.848848
2016-02-18 10:25:00,2538136334.4927197
2016-02-18 11:25:00,4157009808.1782503
2016-02-18 12:25:00,3801642405.2215443
2016-02-18 13:25:00,3041455504.8158636
2016-02-18 14:25:00,111039672.2955218
2016-02-18 15:25:00,2907864059.367426
2016-02-18 16:25:00,2229692800.3384924
2016-02-18 17:25:00,2365407955.3663526
2016-02-18 18:25:00,2808049709.1345663
2016-02-18 19:25:00,5748780702.469246
2016-02-18 20:25:00,7729594965.904934
2016-02-18 21:25:00,6366780190.081207
2016-02-18 22:25:00,311174017.89919907
2016-02-18 23:25:00,4421462215.330153
2016-02-19 00:25:00,2738169551.068805
2016-02-19 01:25:00,5884091341.38674
2016-02-19 02:25:00,2203601511.2198725
2016-02-19 03:25:00,4648699140.328366
2016-02-19 04:25:00,6149453909.786966
2016-02-19 05:25:00,6643368080.544097
2016-02-19 06:25:00,2475638595.4411416
2016-02-19 07:25:00,4927006224.260311
2016-02-19 08:25:00,6431806154.822574
2016-02-19 09:25:00,5231809113.421243
2016-02-19 10:25:00,5491306198.22116
2016-02-19 11:25:00,7420342399.529975
2016-02-19 12:25:00,8104581400.214401
2016-02-19 13:25:00,5678394899.265528
2016-02-19 14:25:00,9632641007.12272
2016-02-19 15:25:00,11295101091.700209
2016-02-19 16:25:00,13646957757.369293
2016-02-19 17:25:00,14881945442.3173
2016-02-19 18:25:00,9619291975.480637
2016-02-19 19:25:00,9424416339.31172
2016-02-19 20:25:00,10939430301.660728
2016-02-19 21:25:00,1423492192.3786564
2016-02-19 22:25:00,116702897.84064859
2016-02-19 23:25:00,9777963419.771778
2016-02-20 00:25:00,7930133827.618978
2016-02-20 01:25:00,3315414040.5613723
2016-02-20 02:25:00,13551390826.295279
2016-02-20 03:25:00,13936591292.391493
2016-02-20 04:25:00,12592586515.699795
2016-02-20 05:25:00,13167403908.530165
2016-02-20 06:25:00,1506013478.8933613
2016-02-20 07:25:00,17727311762.63315
2016-02-20 08:25:00,9876159705.563173
2016-02-20 09:25:00,11117215132.166674
2016-02-20 10:25:00,15679448953.904264
2016-02-20 11:25:00,12350483623.645624
2016-02-20 12:25:00,5371468300.525173
2016-02-20 13:25:00,2414961178.886212
2016-02-20 14:25:00,2710359068.481129
2016-02-20 15:25:00,3364461618.943274
2016-02-20 16:25:00,2559373430.286945
2016-02-20 17:25:00,5259922983.091694
2016-02-20 18:25:00,2929202284.1892433
2016-02-20 19:25:00,1057607370.552429
2016-02-20 20:25:00,8598495570.97153
2016-02-20 21:25:00,4234070127.2030115
2016-02-20 22:25:00,4324883993.980224
2016-02-20 23:25:00,2424568436.507409
2016-02-21 00:25:00,8717928952.557152
2016-02-21 01:25:00,3114976307.8749204
2016-02-21 02:25:00,9379110534.950705
2016-02-21 03:25:00,5915340210.912529
2016-02-21 04:25:00,2808353096.217341
2016-02-21 05:25:00,11976407350.58448
2016-02-21 06:25:00,9092713128.811436
2016-02-21 07:25:00,9586526170.540974
2016-02-21 08:25:00,5259922983.091694
2016-02-21 09:25:00,8694467018.155912
2016-02-21 10:25:00,6114968911.378248
2016-02-21 11:25:00,5268013305.299018
2016-02-21 12:25:00,5411313137.396244
2016-02-21 13:25:00,3995405622.0869536
2016-02-21 14:25:00,2129170546.9124918
2016-02-21 15:25:00,1850560075.8977718
2016-02-21 16:25:00,2673952618.548171
2016-02-21 17:25:00,2368138439.1113243
2016-02-21 18:25:00,356378693.23262185
2016-02-21 19:25:00,2832118417.701355
2016-02-21 20:25:00,4101186584.947715
2016-02-21 21:25:00,2734326648.0203266
2016-02-21 22:25:00,4614113012.892056
2016-02-21 23:25:00,4136682873.632349
2016-02-22 00:25:00,2467346015.1786346
2016-02-22 01:25:00,1133959786.3840492
2016-02-22 02:25:00,2218062962.165464
2016-02-22 03:25:00,2930719219.6031165
2016-02-22 04:25:00,3166046466.808653
2016-02-22 05:25:00,4414585441.453928
2016-02-22 06:25:00,4919118160.1081705
2016-02-22 07:25:00,3607171285.1629934
2016-02-22 08:25:00,2625612943.3594103
2016-02-22 09:25:00,4259048997.0181246
2016-02-22 10:25:00,370233370.0126642
2016-02-22 11:25:00,1441088643.1795862
2016-02-22 12:25:00,2528933592.981889
2016-02-22 13:25:00,350715467.68749505
2016-02-22 14:25:00,2707830842.7913404
2016-02-22 15:25:00,4079747231.098306
2016-02-22 16:25:00,1954217329.1791105
2016-02-22 17:25:00,1667415406.9294748
2016-02-22 18:25:00,1907192331.3490398
2016-02-22 19:25:00,4342075928.670787
2016-02-22 20:25:00,1647290730.4387565
2016-02-22 21:25:00,1615738473.8301928
2016-02-22 22:25:00,1692192018.6894047
2016-02-22 23:25:00,3421599519.5325
2016-02-23 00:25:00,2808959870.38289
2016-02-23 01:25:00,3544269030.0010495
2016-02-23 02:25:00,4440069956.406999
2016-02-23 03:25:00,4527040920.135732
2016-02-23 04:25:00,5410504105.175511
2016-02-23 05:25:00,4606123819.712323
2016-02-23 06:25:00,2357317633.1590285
2016-02-23 07:25:00,4422675763.661252
2016-02-23 08:25:00,2581015042.191537
2016-02-23 09:25:00,1278169779.7295992
2016-02-23 10:25:00,2798948096.6513267
2016-02-23 11:25:00,703048999.816455
2016-02-23 12:25:00,3801945792.304319
2016-02-23 13:25:00,1942688620.0336738
2016-02-23 14:25:00,2004478455.8921108
2016-02-23 15:25:00,819347381.5467373
2016-02-23 16:25:00,1731328952.3673344
2016-02-23 17:25:00,1371208485.113825
2016-02-23 18:25:00,1484675254.0715442
2016-02-23 19:25:00,1739014758.4642923
2016-02-23 20:25:00,1185737848.5109227
2016-02-23 21:25:00,1079956885.6501615
2016-02-23 22:25:00,1534632993.7017698
2016-02-23 23:25:00,1064585273.4562459
2016-02-24 00:25:00,1395176064.6530225
2016-02-24 01:25:00,0.0
