,0
2016-02-17 19:25:00,28214998.698042423
2016-02-17 20:25:00,6893359036.750408
2016-02-17 21:25:00,18833157679.34675
2016-02-17 22:25:00,19418593620.07423
2016-02-17 23:25:00,4642934785.755648
2016-02-18 00:25:00,15451301867.657728
2016-02-18 01:25:00,13488286313.078152
2016-02-18 02:25:00,15946429586.745956
2016-02-18 03:25:00,5819773279.838514
2016-02-18 04:25:00,7070435964.063211
2016-02-18 05:25:00,10831829016.30332
2016-02-18 06:25:00,6054190365.795727
2016-02-18 07:25:00,5371266042.469991
2016-02-18 08:25:00,7634230292.886103
2016-02-18 09:25:00,9845820997.285707
2016-02-18 10:25:00,3556303384.284444
2016-02-18 11:25:00,8014981081.768288
2016-02-18 12:25:00,10747082891.1816
2016-02-18 13:25:00,1490136221.561488
2016-02-18 14:25:00,1618064.4414647985
2016-02-18 15:25:00,9399235211.441423
2016-02-18 16:25:00,4086219488.864166
2016-02-18 17:25:00,3484602903.7220354
2016-02-18 18:25:00,4811314616.695579
2016-02-18 19:25:00,6393781640.448152
2016-02-18 20:25:00,18313051090.443405
2016-02-18 21:25:00,15348655904.652304
2016-02-18 22:25:00,18274116414.82066
2016-02-18 23:25:00,20957777420.01762
2016-02-19 00:25:00,21038073867.925312
2016-02-19 01:25:00,3883556917.5706997
2016-02-19 02:25:00,14569456747.059412
2016-02-19 03:25:00,19480383455.932667
2016-02-19 04:25:00,14020326127.237297
2016-02-19 05:25:00,13816551136.640324
2016-02-19 06:25:00,13048476172.082502
2016-02-19 07:25:00,18724241716.63065
2016-02-19 08:25:00,20120833587.669952
2016-02-19 09:25:00,17164225337.003399
2016-02-19 10:25:00,24041605987.394344
2016-02-19 11:25:00,19208144113.656216
2016-02-19 12:25:00,24619457251.05246
2016-02-19 13:25:00,17756639180.6347
2016-02-19 14:25:00,20022435043.823376
2016-02-19 15:25:00,22467532672.93187
2016-02-19 16:25:00,33163343147.124554
2016-02-19 17:25:00,22148571719.90812
2016-02-19 18:25:00,5707722317.2670765
2016-02-19 19:25:00,13707028399.758675
2016-02-19 20:25:00,1944610071.557913
2016-02-19 21:25:00,8530233477.347235
2016-02-19 22:25:00,1763892499.2518134
2016-02-19 23:25:00,38917382559.02856
2016-02-20 00:25:00,25427275923.45376
2016-02-20 01:25:00,26969796981.30767
2016-02-20 02:25:00,4826079454.723945
2016-02-20 03:25:00,21293525791.621567
2016-02-20 04:25:00,26393867169.173794
2016-02-20 05:25:00,14888013183.972794
2016-02-20 06:25:00,18041620780.387688
2016-02-20 07:25:00,31135503885.858795
2016-02-20 08:25:00,35142235959.036
2016-02-20 09:25:00,33749385862.017586
2016-02-20 10:25:00,7633421260.66537
2016-02-20 11:25:00,17435857905.114304
2016-02-20 12:25:00,27835967102.629295
2016-02-20 13:25:00,31041150503.11588
2016-02-20 14:25:00,34368093252.822685
2016-02-20 15:25:00,31479747095.78043
2016-02-20 16:25:00,23620302458.447945
2016-02-20 17:25:00,21728380610.26523
2016-02-20 18:25:00,8125211721.843078
2016-02-20 19:25:00,12207891694.741539
2016-02-20 20:25:00,13388471962.845293
2016-02-20 21:25:00,16685783907.467777
2016-02-20 22:25:00,33604265707.42371
2016-02-20 23:25:00,27250025516.763855
2016-02-21 00:25:00,18894340741.039635
2016-02-21 01:25:00,19580501193.248302
2016-02-21 02:25:00,20796072104.89873
2016-02-21 03:25:00,21916986246.72347
2016-02-21 04:25:00,23043361356.038155
2016-02-21 05:25:00,30970259054.7742
2016-02-21 06:25:00,22391079128.07266
2016-02-21 07:25:00,13797437750.42552
2016-02-21 08:25:00,12258456208.537313
2016-02-21 09:25:00,10615514026.284994
2016-02-21 10:25:00,27328805029.25767
2016-02-21 11:25:00,18657395429.392635
2016-02-21 12:25:00,8416665579.361924
2016-02-21 13:25:00,22652497664.396812
